index,unit1_mask,unit1_beam_index
1,./resources/mobilenet_mask/image_BS1_3334_03_27_04.jpg,14
2,./resources/mobilenet_mask/image_BS1_7865_03_36_45.jpg,55
3,./resources/mobilenet_mask/image_BS1_668_03_21_23.jpg,52
4,./resources/mobilenet_mask/image_BS1_6242_03_33_17.jpg,48
5,./resources/mobilenet_mask/image_BS1_1035_03_22_11.jpg,27
6,./resources/mobilenet_mask/image_BS1_2285_03_24_50.jpg,29
7,./resources/mobilenet_mask/image_BS1_4365_03_29_16.jpg,51
8,./resources/mobilenet_mask/image_BS1_7837_03_36_41.jpg,29
9,./resources/mobilenet_mask/image_BS1_571_03_21_11.jpg,3
10,./resources/mobilenet_mask/image_BS1_9264_03_39_47.jpg,59
11,./resources/mobilenet_mask/image_BS1_7838_03_36_41.jpg,29
13,./resources/mobilenet_mask/image_BS1_2037_03_24_19.jpg,39
14,./resources/mobilenet_mask/image_BS1_6549_03_33_56.jpg,55
15,./resources/mobilenet_mask/image_BS1_9897_03_41_09.jpg,27
16,./resources/mobilenet_mask/image_BS1_5360_03_31_23.jpg,26
17,./resources/mobilenet_mask/image_BS1_5906_03_32_33.jpg,14
18,./resources/mobilenet_mask/image_BS1_6476_03_33_47.jpg,11
19,./resources/mobilenet_mask/image_BS1_8109_03_37_16.jpg,17
20,./resources/mobilenet_mask/image_BS1_2819_03_25_58.jpg,52
21,./resources/mobilenet_mask/image_BS1_4826_03_30_15.jpg,26
23,./resources/mobilenet_mask/image_BS1_8088_03_37_13.jpg,38
24,./resources/mobilenet_mask/image_BS1_8614_03_38_22.jpg,37
25,./resources/mobilenet_mask/image_BS1_2027_03_24_17.jpg,26
26,./resources/mobilenet_mask/image_BS1_2845_03_26_02.jpg,33
27,./resources/mobilenet_mask/image_BS1_3634_03_27_43.jpg,37
28,./resources/mobilenet_mask/image_BS1_4801_03_30_12.jpg,11
29,./resources/mobilenet_mask/image_BS1_6536_03_33_54.jpg,48
30,./resources/mobilenet_mask/image_BS1_362_03_20_44.jpg,3
31,./resources/mobilenet_mask/image_BS1_2848_03_26_02.jpg,31
33,./resources/mobilenet_mask/image_BS1_9542_03_40_23.jpg,58
34,./resources/mobilenet_mask/image_BS1_3387_03_27_11.jpg,52
35,./resources/mobilenet_mask/image_BS1_2525_03_25_21.jpg,11
36,./resources/mobilenet_mask/image_BS1_8605_03_38_21.jpg,29
37,./resources/mobilenet_mask/image_BS1_290_03_20_35.jpg,46
38,./resources/mobilenet_mask/image_BS1_305_03_20_37.jpg,39
39,./resources/mobilenet_mask/image_BS1_3918_03_28_19.jpg,47
40,./resources/mobilenet_mask/image_BS1_671_03_21_23.jpg,54
41,./resources/mobilenet_mask/image_BS1_8623_03_38_23.jpg,44
42,./resources/mobilenet_mask/image_BS1_3381_03_27_10.jpg,49
43,./resources/mobilenet_mask/image_BS1_8593_03_38_19.jpg,17
44,./resources/mobilenet_mask/image_BS1_3382_03_27_11.jpg,49
45,./resources/mobilenet_mask/image_BS1_6804_03_34_29.jpg,57
46,./resources/mobilenet_mask/image_BS1_4075_03_28_39.jpg,57
47,./resources/mobilenet_mask/image_BS1_6544_03_33_55.jpg,51
48,./resources/mobilenet_mask/image_BS1_6526_03_33_53.jpg,42
49,./resources/mobilenet_mask/image_BS1_9484_03_40_15.jpg,14
50,./resources/mobilenet_mask/image_BS1_5110_03_30_52.jpg,47
51,./resources/mobilenet_mask/image_BS1_4363_03_29_16.jpg,48
52,./resources/mobilenet_mask/image_BS1_5337_03_31_20.jpg,4
55,./resources/mobilenet_mask/image_BS1_8633_03_38_24.jpg,54
56,./resources/mobilenet_mask/image_BS1_4074_03_28_39.jpg,57
57,./resources/mobilenet_mask/image_BS1_4592_03_29_45.jpg,48
58,./resources/mobilenet_mask/image_BS1_639_03_21_19.jpg,34
59,./resources/mobilenet_mask/image_BS1_8617_03_38_22.jpg,39
61,./resources/mobilenet_mask/image_BS1_3903_03_28_17.jpg,34
62,./resources/mobilenet_mask/image_BS1_594_03_21_14.jpg,14
63,./resources/mobilenet_mask/image_BS1_2816_03_25_58.jpg,55
64,./resources/mobilenet_mask/image_BS1_6250_03_33_18.jpg,39
65,./resources/mobilenet_mask/image_BS1_4895_03_30_24.jpg,55
66,./resources/mobilenet_mask/image_BS1_4609_03_29_47.jpg,39
67,./resources/mobilenet_mask/image_BS1_8624_03_38_23.jpg,45
68,./resources/mobilenet_mask/image_BS1_5355_03_31_23.jpg,21
69,./resources/mobilenet_mask/image_BS1_3629_03_27_42.jpg,39
70,./resources/mobilenet_mask/image_BS1_2811_03_25_57.jpg,57
72,./resources/mobilenet_mask/image_BS1_5097_03_30_50.jpg,56
73,./resources/mobilenet_mask/image_BS1_3357_03_27_07.jpg,34
74,./resources/mobilenet_mask/image_BS1_2269_03_24_48.jpg,45
75,./resources/mobilenet_mask/image_BS1_7417_03_35_47.jpg,43
76,./resources/mobilenet_mask/image_BS1_5889_03_32_31.jpg,3
77,./resources/mobilenet_mask/image_BS1_1301_03_22_45.jpg,43
80,./resources/mobilenet_mask/image_BS1_5395_03_31_28.jpg,59
82,./resources/mobilenet_mask/image_BS1_4836_03_30_17.jpg,29
83,./resources/mobilenet_mask/image_BS1_5154_03_30_57.jpg,11
85,./resources/mobilenet_mask/image_BS1_9495_03_40_17.jpg,21
86,./resources/mobilenet_mask/image_BS1_2049_03_24_20.jpg,53
87,./resources/mobilenet_mask/image_BS1_6505_03_33_50.jpg,29
88,./resources/mobilenet_mask/image_BS1_2576_03_25_27.jpg,33
89,./resources/mobilenet_mask/image_BS1_8577_03_38_17.jpg,4
90,./resources/mobilenet_mask/image_BS1_8055_03_37_09.jpg,55
91,./resources/mobilenet_mask/image_BS1_317_03_20_38.jpg,34
92,./resources/mobilenet_mask/image_BS1_3605_03_27_39.jpg,58
93,./resources/mobilenet_mask/image_BS1_4343_03_29_13.jpg,30
94,./resources/mobilenet_mask/image_BS1_2262_03_24_47.jpg,51
95,./resources/mobilenet_mask/image_BS1_2277_03_24_49.jpg,37
96,./resources/mobilenet_mask/image_BS1_8089_03_37_14.jpg,37
97,./resources/mobilenet_mask/image_BS1_4588_03_29_45.jpg,52
98,./resources/mobilenet_mask/image_BS1_3900_03_28_17.jpg,31
99,./resources/mobilenet_mask/image_BS1_6488_03_33_48.jpg,17
100,./resources/mobilenet_mask/image_BS1_2047_03_24_20.jpg,52
101,./resources/mobilenet_mask/image_BS1_5899_03_32_33.jpg,9
102,./resources/mobilenet_mask/image_BS1_2866_03_26_04.jpg,21
103,./resources/mobilenet_mask/image_BS1_5123_03_30_53.jpg,38
105,./resources/mobilenet_mask/image_BS1_8064_03_37_10.jpg,52
106,./resources/mobilenet_mask/image_BS1_7412_03_35_47.jpg,48
107,./resources/mobilenet_mask/image_BS1_3651_03_27_45.jpg,22
108,./resources/mobilenet_mask/image_BS1_6827_03_34_32.jpg,38
109,./resources/mobilenet_mask/image_BS1_6831_03_34_32.jpg,32
110,./resources/mobilenet_mask/image_BS1_6816_03_34_30.jpg,48
112,./resources/mobilenet_mask/image_BS1_1000_03_22_06.jpg,51
114,./resources/mobilenet_mask/image_BS1_7410_03_35_46.jpg,49
115,./resources/mobilenet_mask/image_BS1_2286_03_24_50.jpg,29
116,./resources/mobilenet_mask/image_BS1_358_03_20_44.jpg,4
117,./resources/mobilenet_mask/image_BS1_6515_03_33_52.jpg,34
118,./resources/mobilenet_mask/image_BS1_8127_03_37_18.jpg,3
120,./resources/mobilenet_mask/image_BS1_2025_03_24_17.jpg,23
121,./resources/mobilenet_mask/image_BS1_2523_03_25_21.jpg,11
122,./resources/mobilenet_mask/image_BS1_9531_03_40_21.jpg,49
123,./resources/mobilenet_mask/image_BS1_3339_03_27_05.jpg,17
124,./resources/mobilenet_mask/image_BS1_7833_03_36_41.jpg,23
125,./resources/mobilenet_mask/image_BS1_4360_03_29_15.jpg,48
126,./resources/mobilenet_mask/image_BS1_2031_03_24_18.jpg,31
127,./resources/mobilenet_mask/image_BS1_2057_03_24_21.jpg,60
128,./resources/mobilenet_mask/image_BS1_7832_03_36_41.jpg,23
129,./resources/mobilenet_mask/image_BS1_648_03_21_21.jpg,39
130,./resources/mobilenet_mask/image_BS1_6266_03_33_20.jpg,24
131,./resources/mobilenet_mask/image_BS1_6535_03_33_54.jpg,48
132,./resources/mobilenet_mask/image_BS1_2033_03_24_18.jpg,34
134,./resources/mobilenet_mask/image_BS1_2278_03_24_49.jpg,37
135,./resources/mobilenet_mask/image_BS1_9516_03_40_19.jpg,38
136,./resources/mobilenet_mask/image_BS1_2288_03_24_51.jpg,26
137,./resources/mobilenet_mask/image_BS1_1302_03_22_45.jpg,46
138,./resources/mobilenet_mask/image_BS1_6516_03_33_52.jpg,37
139,./resources/mobilenet_mask/image_BS1_2040_03_24_19.jpg,43
140,./resources/mobilenet_mask/image_BS1_6234_03_33_16.jpg,52
141,./resources/mobilenet_mask/image_BS1_5111_03_30_52.jpg,45
142,./resources/mobilenet_mask/image_BS1_2841_03_26_01.jpg,37
143,./resources/mobilenet_mask/image_BS1_4346_03_29_14.jpg,34
144,./resources/mobilenet_mask/image_BS1_1043_03_22_12.jpg,21
145,./resources/mobilenet_mask/image_BS1_6852_03_34_35.jpg,8
146,./resources/mobilenet_mask/image_BS1_6494_03_33_49.jpg,22
147,./resources/mobilenet_mask/image_BS1_656_03_21_22.jpg,44
148,./resources/mobilenet_mask/image_BS1_3882_03_28_14.jpg,17
149,./resources/mobilenet_mask/image_BS1_5094_03_30_49.jpg,58
151,./resources/mobilenet_mask/image_BS1_5368_03_31_25.jpg,34
152,./resources/mobilenet_mask/image_BS1_3907_03_28_17.jpg,38
153,./resources/mobilenet_mask/image_BS1_4325_03_29_11.jpg,12
154,./resources/mobilenet_mask/image_BS1_1319_03_22_47.jpg,59
155,./resources/mobilenet_mask/image_BS1_4844_03_30_18.jpg,33
156,./resources/mobilenet_mask/image_BS1_3917_03_28_19.jpg,46
157,./resources/mobilenet_mask/image_BS1_6478_03_33_47.jpg,11
158,./resources/mobilenet_mask/image_BS1_332_03_20_40.jpg,25
159,./resources/mobilenet_mask/image_BS1_3864_03_28_12.jpg,2
161,./resources/mobilenet_mask/image_BS1_3908_03_28_18.jpg,39
162,./resources/mobilenet_mask/image_BS1_8128_03_37_19.jpg,2
163,./resources/mobilenet_mask/image_BS1_4813_03_30_14.jpg,20
165,./resources/mobilenet_mask/image_BS1_7820_03_36_39.jpg,13
166,./resources/mobilenet_mask/image_BS1_3672_03_27_47.jpg,3
167,./resources/mobilenet_mask/image_BS1_6799_03_34_28.jpg,60
168,./resources/mobilenet_mask/image_BS1_3348_03_27_06.jpg,26
169,./resources/mobilenet_mask/image_BS1_8111_03_37_16.jpg,16
170,./resources/mobilenet_mask/image_BS1_9522_03_40_20.jpg,43
171,./resources/mobilenet_mask/image_BS1_3914_03_28_18.jpg,46
172,./resources/mobilenet_mask/image_BS1_617_03_21_17.jpg,22
173,./resources/mobilenet_mask/image_BS1_6477_03_33_47.jpg,11
174,./resources/mobilenet_mask/image_BS1_9479_03_40_15.jpg,11
175,./resources/mobilenet_mask/image_BS1_6843_03_34_34.jpg,19
176,./resources/mobilenet_mask/image_BS1_4584_03_29_44.jpg,55
177,./resources/mobilenet_mask/image_BS1_8097_03_37_15.jpg,29
178,./resources/mobilenet_mask/image_BS1_5133_03_30_54.jpg,27
179,./resources/mobilenet_mask/image_BS1_2303_03_24_53.jpg,11
181,./resources/mobilenet_mask/image_BS1_312_03_20_38.jpg,37
182,./resources/mobilenet_mask/image_BS1_8080_03_37_12.jpg,42
185,./resources/mobilenet_mask/image_BS1_5336_03_31_20.jpg,4
186,./resources/mobilenet_mask/image_BS1_1012_03_22_08.jpg,43
187,./resources/mobilenet_mask/image_BS1_6542_03_33_55.jpg,51
188,./resources/mobilenet_mask/image_BS1_6810_03_34_29.jpg,51
189,./resources/mobilenet_mask/image_BS1_329_03_20_40.jpg,26
190,./resources/mobilenet_mask/image_BS1_6520_03_33_52.jpg,39
191,./resources/mobilenet_mask/image_BS1_6832_03_34_32.jpg,33
192,./resources/mobilenet_mask/image_BS1_9303_03_39_52.jpg,14
193,./resources/mobilenet_mask/image_BS1_2291_03_24_51.jpg,22
194,./resources/mobilenet_mask/image_BS1_1004_03_22_07.jpg,48
195,./resources/mobilenet_mask/image_BS1_5357_03_31_23.jpg,22
196,./resources/mobilenet_mask/image_BS1_678_03_21_24.jpg,57
197,./resources/mobilenet_mask/image_BS1_4604_03_29_47.jpg,39
198,./resources/mobilenet_mask/image_BS1_2052_03_24_21.jpg,55
199,./resources/mobilenet_mask/image_BS1_6537_03_33_54.jpg,49
200,./resources/mobilenet_mask/image_BS1_1056_03_22_13.jpg,11
201,./resources/mobilenet_mask/image_BS1_2023_03_24_17.jpg,21
202,./resources/mobilenet_mask/image_BS1_6277_03_33_21.jpg,14
204,./resources/mobilenet_mask/image_BS1_6808_03_34_29.jpg,55
205,./resources/mobilenet_mask/image_BS1_6833_03_34_32.jpg,29
206,./resources/mobilenet_mask/image_BS1_331_03_20_40.jpg,24
207,./resources/mobilenet_mask/image_BS1_6473_03_33_46.jpg,7
208,./resources/mobilenet_mask/image_BS1_5091_03_30_49.jpg,56
209,./resources/mobilenet_mask/image_BS1_7416_03_35_47.jpg,43
210,./resources/mobilenet_mask/image_BS1_6514_03_33_52.jpg,34
211,./resources/mobilenet_mask/image_BS1_1277_03_22_42.jpg,19
212,./resources/mobilenet_mask/image_BS1_7834_03_36_41.jpg,26
213,./resources/mobilenet_mask/image_BS1_2268_03_24_48.jpg,45
214,./resources/mobilenet_mask/image_BS1_1060_03_22_14.jpg,11
215,./resources/mobilenet_mask/image_BS1_6467_03_33_46.jpg,3
216,./resources/mobilenet_mask/image_BS1_4893_03_30_24.jpg,55
217,./resources/mobilenet_mask/image_BS1_9874_03_41_06.jpg,46
218,./resources/mobilenet_mask/image_BS1_3929_03_28_20.jpg,59
219,./resources/mobilenet_mask/image_BS1_5151_03_30_57.jpg,13
220,./resources/mobilenet_mask/image_BS1_7810_03_36_38.jpg,3
221,./resources/mobilenet_mask/image_BS1_4329_03_29_11.jpg,17
223,./resources/mobilenet_mask/image_BS1_6848_03_34_34.jpg,14
224,./resources/mobilenet_mask/image_BS1_2550_03_25_24.jpg,21
225,./resources/mobilenet_mask/image_BS1_1303_03_22_45.jpg,44
226,./resources/mobilenet_mask/image_BS1_346_03_20_42.jpg,14
228,./resources/mobilenet_mask/image_BS1_9855_03_41_03.jpg,55
229,./resources/mobilenet_mask/image_BS1_633_03_21_19.jpg,29
230,./resources/mobilenet_mask/image_BS1_2524_03_25_21.jpg,8
231,./resources/mobilenet_mask/image_BS1_335_03_20_40.jpg,22
232,./resources/mobilenet_mask/image_BS1_1256_03_22_39.jpg,2
233,./resources/mobilenet_mask/image_BS1_569_03_21_10.jpg,2
234,./resources/mobilenet_mask/image_BS1_4338_03_29_12.jpg,26
236,./resources/mobilenet_mask/image_BS1_4076_03_28_39.jpg,56
237,./resources/mobilenet_mask/image_BS1_5382_03_31_26.jpg,48
238,./resources/mobilenet_mask/image_BS1_9508_03_40_18.jpg,32
239,./resources/mobilenet_mask/image_BS1_3909_03_28_18.jpg,39
240,./resources/mobilenet_mask/image_BS1_3335_03_27_05.jpg,14
